Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2024/25

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Elof Lindälvs Gymnasium Enhet 5;51620045;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Försäljnings- och serviceprogrammet;51;92,2;..;58,8;..;13,3;13,5;100,0;88,2;100,0;96,1;96,1;100,0;96,1;100,0;.;98,0;
Elof Lindälvs Gymnasium Enhet 5;51620045;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;51;92,2;..;58,8;..;13,3;13,5;100,0;88,2;100,0;96,1;96,1;100,0;96,1;100,0;.;98,0;
Elof Lindälvs Gymnasium Enhet 5;51620045;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;51;92,2;..;58,8;..;13,3;13,5;100,0;88,2;100,0;96,1;96,1;100,0;96,1;100,0;.;98,0;
Elof Lindälvs Gymnasium Enhet 6;61252599;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;25;84,0;..;84,0;..;14,1;15,3;100,0;92,0;96,0;100,0;.;88,0;100,0;100,0;..;100,0;
Elof Lindälvs Gymnasium Enhet 6;61252599;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Naturvetenskapsprogrammet;25;84,0;..;84,0;..;14,1;15,3;100,0;92,0;96,0;100,0;.;88,0;100,0;100,0;..;100,0;
Elof Lindälvs Gymnasium Enhet 6;61252599;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;25;84,0;..;84,0;..;14,1;15,3;100,0;92,0;96,0;100,0;.;88,0;100,0;100,0;..;100,0;
LBS Kreativa Gymnasiet Kungsbacka;86888278;Kungsbacka;1384;Enskild;LBS Kreativa Gymnasiet AB;5564851649;Högskoleförberedande program;27;81,5;..;81,5;..;13,7;14,6;100,0;96,3;92,6;100,0;100,0;100,0;96,3;100,0;.;92,6;
LBS Kreativa Gymnasiet Kungsbacka;86888278;Kungsbacka;1384;Enskild;LBS Kreativa Gymnasiet AB;5564851649;Teknikprogrammet;11;..;..;..;..;12,2;..;100,0;100,0;90,9;100,0;.;100,0;90,9;100,0;.;..;
LBS Kreativa Gymnasiet Kungsbacka;86888278;Kungsbacka;1384;Enskild;LBS Kreativa Gymnasiet AB;5564851649;Estetiska programmet;16;93,8;..;93,8;..;14,7;14,9;100,0;93,8;93,8;100,0;100,0;100,0;100,0;100,0;.;100,0;
LBS Kreativa Gymnasiet Kungsbacka;86888278;Kungsbacka;1384;Enskild;LBS Kreativa Gymnasiet AB;5564851649;Nationella program;27;81,5;..;81,5;..;13,7;14,6;100,0;96,3;92,6;100,0;100,0;100,0;96,3;100,0;.;92,6;
